job_id,job_name,mo_id,number_of_positions,module_name,requirements,start_date,end_date,additional_notes,keywords,status
job022,Academic English Writing Clinic,pgarcia@bupt.edu.cn,2,Academic English,Candidates should excel in academic writing argument structure and citation conventions (APA and IEEE). You will run drop-in clinics helping students outline essays fix grammar issues and align drafts with rubrics. English literature linguistics or communication majors welcome; ESL support experience valued. You must give constructive feedback without rewriting student work.,2026-04-05,2026-07-20,Clinic hours Monday Wednesday 2:00 PM to 5:00 PM in the Language Center.,"Academic Writing, ESL Support, Citations, Essay Structure, Feedback",0
job023,Physics Mechanics Lab Assistant,mwu@bupt.edu.cn,2,University Physics,Applicants must have completed mechanics coursework with solid lab report skills. You will help students set up air-track and force-table experiments calibrate sensors and interpret uncertainty. Physics or engineering majors preferred. Patience with unit conversions and free-body diagrams is essential.,2026-04-08,2026-07-25,Labs Friday 1:00 PM to 4:00 PM. Safety briefing mandatory in week one.,"Mechanics, Lab Reports, Uncertainty, Physics, Experiments",0
job024,Psychology Research Methods Lab,soka@bupt.edu.cn,2,Research Methods in Psychology,We seek TAs who understand hypothesis testing survey design ethics approval basics and SPSS or jamovi workflows. You will guide students through lab assignments on descriptive statistics correlation and simple regression. Psychology or social-science majors with statistics coursework are ideal.,2026-04-12,2026-07-15,Labs Wednesday afternoons. IRB ethics refresher required for all TAs.,"Psychology, SPSS, Statistics, Survey Design, Research Ethics",0
job025,Digital Media Portfolio Studio,rbennett@bupt.edu.cn,2,Digital Media Production,Candidates should be skilled in video editing (Premiere or DaVinci) basic motion graphics and project storytelling. You will coach students on shot composition audio cleanup and export settings for submission. Design or digital-media majors preferred; coding skills not required.,2026-04-15,2026-08-01,Studio blocks Thursday evenings 6:00 PM to 9:00 PM in Media Lab B.,"Video Editing, Premiere, Storytelling, Portfolio, Design",0
job026,Calculus I Peer Tutoring,hnguyen@bupt.edu.cn,3,Calculus I,TAs must be confident with limits derivatives and integration techniques taught in first-year calculus. You will host peer tutoring sessions and create short worked examples for common mistakes (chain rule substitution by parts). Math physics or engineering majors with A-level or equivalent math background are welcome.,2026-04-01,2026-06-30,Sessions in Math Learning Center four afternoons per week.,"Calculus, Derivatives, Integration, Peer Tutoring, Math",0
job027,Business Case Study Seminar,dclark@bupt.edu.cn,2,Strategic Management,Applicants should be able to facilitate case discussions on competitive strategy market entry and stakeholder analysis. Business administration or economics majors with presentation experience preferred. You will help teams structure slides and time their in-class pitches.,2026-05-01,2026-07-30,Seminar Monday evenings. Case packs distributed one week ahead.,"Case Study, Strategy, Presentation, Business, Facilitation",0
job028,Summer Data Structures Review Sessions,evans@bupt.edu.cn,2,Data Structures,Supplemental review sessions for exam preparation covering trees graphs and basic complexity analysis. Applicants should have prior TA or tutoring experience in data structures and clear spoken English.,2026-04-20,2026-07-30,Review blocks run Monday and Wednesday 7:00 PM to 8:30 PM during preparation weeks.,"Data Structures, Review Sessions, Java, Trees, Graphs",0
job029,Algorithm Practice Clinic Assistant,evans@bupt.edu.cn,2,Algorithms,We need a TA to run weekly problem clinics on greedy methods and introductory dynamic programming. Strong competitive programming background and patient debugging support are expected.,2026-04-15,2026-07-25,Clinics held Thursday afternoons in the open lab. Typical workload is five hours weekly.,"Algorithms, Greedy, Dynamic Programming, Clinic, Debugging",0
job030,OOP Design Patterns Studio Support,slin@bupt.edu.cn,2,Software Engineering,TAs will coach students on applying common design patterns in small Java projects and reviewing UML sketches before milestone submissions. Prior OOP teaching experience is preferred.,2026-04-18,2026-08-10,Studio support on Tuesday evenings with optional Friday Q and A block.,"OOP, Design Patterns, UML, Java, Studio Coaching",0
job031,Programming Fundamentals Weekend Lab,evans@bupt.edu.cn,2,Introduction to Programming,Weekend lab support for first-year students practicing loops arrays and debugging strategies. Patience with beginners and clear explanation of compiler errors are essential.,2026-04-10,2026-07-15,Saturday morning lab blocks 9:00 AM to 12:00 PM. Coordinate with the primary help desk TA roster.,"Java, Beginner Mentoring, Debugging, Weekend Lab",0
job032,Computer Networks Drop-in Support,kzhang@bupt.edu.cn,2,Computer Networks,Drop-in support for subnetting exercises Wireshark labs and socket programming homework. Applicants should understand TCP/IP basics and common troubleshooting workflows.,2026-04-12,2026-07-22,Drop-in hours Wednesday 4:00 PM to 6:00 PM in the networks teaching lab.,"Networks, TCP/IP, Wireshark, Subnetting, Drop-in",0
job033,Intro Programming Office Hour Backup,evans@bupt.edu.cn,2,Introduction to Programming,Backup office-hour coverage for procedural programming topics including functions arrays and simple OOP introductions. Experience with IntelliJ or VS Code is helpful.,2026-04-08,2026-07-05,Office hours Friday 3:00 PM to 5:00 PM shared with the help desk schedule.,"Java, Python, Office Hours, Beginner Support",0
job034,Database Systems SQL Clinic,kzhang@bupt.edu.cn,2,Database Systems,Short SQL clinic sessions helping students debug joins subqueries and transaction homework. PostgreSQL familiarity and clear schema explanations are required.,2026-04-14,2026-07-28,Clinic blocks on Tuesday afternoons before project checkpoints.,"SQL, PostgreSQL, Joins, Transactions, Clinic",0
job035,Spring Bridging Program TA,admin@bupt.edu.cn,4,General Academic Support,Short-term bridging support for mixed-major cohorts during the spring transition period. Program included orientation workshops and weekly check-ins.,2026-02-01,2026-04-18,Spring program completed; staffing records kept for workload history review.,"Bridging Program, Orientation, Communication, History",1
